review,sentiment
"Part of the movie's low rating is the emphasis on unemployment and the suffering we have to endure. While this is good for drama, in comedy, we know the pains it need not be emphasized. As a result Fun with Dick and Jane is not an appropriate title and I was just plain disappointed failing to see any fun with Dick and Jane. It is true that this is a copy from the movie of the same name, but it fails on the execution and the title was not appropriate for the story line.<br /><br />However, if the movie was retitled to be ""The Art of the Steal"" and the emphasis on bungling slapstick comedy more takes on the robbery and the plans to steal (stupidly of course) would have given the movie a major boost. While, at the same time the movie should show the CEO at least in the beginning to be a crook, so it will be easier to project the pains to someone responsible early on and just leave it at that. The movie suffers a viewpoint issue and with that in mind, a comedy cannot work if the viewpoint is not done properly. A scheming husband character who is that of a Wile E. Coyote on the Road Runner would be more funny, including the slapstick comedy. But in this case, a steal instead of the capture of the bird with complicate contraptions would be extremely funny here. I mean you can make many of these and put them in the movie. But since the viewpoint was done wrongly, the robbery part had to be limited.<br /><br />You will enjoy the movie the first 15 minutes (during Jim Carrey's great rise), but to make the problems they had to faced to be more comical since it is a comedy, that is the part that needs a major overhaul. It can be funnier, if problems were faced more like John Travolta's Civil Action during the downfall. That movie was a serious one but the problems they faced were somewhat comical.",negative
"""Seeing Other People"" is a daring romantic comedy about a couple named Ed and Alice (Jay Mohr and Julianne Nicholson) who are engaged and plan to be wed soon. They live together but are both having doubts about their relationship. Alice realizes she's had so few sexual relationships in the past, she might just be marrying Ed because she's never felt anything else. So they agree to begin fooling around with other people for a while to test their own relationship.<br /><br />The movie balances a prescient question - by focusing too much on the ""What if?"" aspects of life, can it in fact do the opposite and only make you feel more constrained? When Ed begins having sex with a college girl he begins to become addicted and almost forget about Alice - when he realizes this, it scares him.<br /><br />I hadn't heard anything about this film in advance but I enjoyed it. It's not extremely well-made and definitely has that purposefully low-budget indie feel to it - but it's a lot better than most romantic comedies out there in the mainstream today.<br /><br />Check it out if you get a chance.",positive
"Steven Seagal appears to be sleepwalking through a dreadful movie shot almost entirely in close-up to disguise the complete lack of budget and resources. To pick on the technical flaws - silver F/A-18s and F-14s take of from a carrier for an air-strike, and miraculously become camouflaged F-16s for the actual strike - would give this movie more credibility than it deserves. Suffice it to say that the most interesting thing in the movie is the credit titles which fade on and then disappear in a lightning wipe, which presumably is available to all users of Final Cut Pro. Putting all your creativity into your own credit puts Michael Keusch in the same category as Marcel Mandu.",negative
"I'd chose either over this film. This film has been in my ""must see"" list for a while because people talked about it being ""disturbing"" and also the VHS box contains lots and lots of quotes from people saying how ""amazing"" it is, or how ""as close as you can get to texas chainsaw massacre"" and lines like that. But, sorry folks, I was disappointed big time. The idea is interesting, but the script is SO underdeveloped that each character becomes a mistaken creation of evolution and people do indeed to the dumbest films in the film.<br /><br />That, in turn, takes away any credibility that the plot may have otherwise had. I couldn't believe how unnecessarily loooooong some ""where is he, let's find him"" sequences were. A few gory moments to please the gore fan, but they are so few that by the time we get to them there's no point. If Luther's a geek, then the filmmakers must really be down on the food chain.",negative
"The British 'heritage film' industry is out of control. There's nothing wrong with filming classic novels, but why must they all be filmed by talentless nobodies? This film rips the guts out of Orwell's tough novel, turning it into a harmless, fluffy romantic comedy. 'Aspidistra' may not be Orwell's best work, but no-one who reads it can forget its superb depiction of poverty. Orwell emphasises not only the cold and the hunger, but the humiliation of being poor. In the novel, London is a bleak, grey, cold, heartless city, and Comstock prays for it to be blasted away by a squadron of bombers. But this film irons out anything that might be in any way disturbing, and creates instead a jolly nostalgic trip to charming 1930s London, in which everything is lit with shafts of golden sunlight, and even the slums of Lambeth are picturesque and filled with freshly scrubbed urchins and happy prostitutes. Comstock's poems about the sharp wind sweeping across the rubbish-strewn streets seem completely out of place in this chocolate-box world. Worst of all is the script's relentless bonhomie, ancient jokes, and clunking dialogue. It's so frustrating because Richard E. Grant is the perfect person to play Gordon Comstock, and the film is packed with great actors. But it's all for nothing. This film made me so angry! Britain's literary history is something to be proud of for its richness, complexity and power. And what do we do with it? We employ bland nobodies to turn it into soft-centred, anodyne pap for people who want to feel that they are 'getting some culture' while they drink their Horlicks and quietly doze off.",negative
"For some reason, this film has never turned up in its original language in my neck of the woods (despite owning the TCM UK Cable channel, which broadcasts scores of MGM titles week in week out). More disappointingly, it's still M.I.A. on DVD  even from Warners' recently-announced ""Western Classics Collection"" Box Set (which does include 3 other Robert Taylor genre efforts); maybe, they're saving it for an eventual ""Signature Collection"" devoted to this stalwart of MGM, which may be coming next year in time for the 40th anniversary of his passing <br /><br />I say this because the film allows him a rare villainous role as a selfish Westerner with a fanatical hatred of Indians and who opts to exploit his expert marksmanship by making some easy money hunting buffaloes; an opening statement offers the alarming statistic that the population of this species was reduced from 60,000,000 to 3,000 in the space of just 30 years! As an associate, Taylor picks on former professional of the trade Stewart Granger  who rallies alcoholic, peg-legged Lloyd Nolan (who continually taunts the irascible and vindictive Taylor) and teenage half-breed Russ Tamblyn to this end. As expected, the company's relationship is a shaky one  reminiscent of that at the centre of Anthony Mann's THE NAKED SPUR (1953), another bleak open-air MGM Western. The film, in fact, ably approximates the flavor and toughness of Mann's work in this field (despite being writer/director Brooks' first of just a handful of such outings but which, cumulatively, exhibited a remarkable diversity); here, too, the narrative throws in a female presence (Debra Paget, also a half-breed) to be contended between the two rugged leads  and Granger, like the James Stewart of THE NAKED SPUR, returns to his job only grudgingly (his remorse at having to kill buffaloes for mere sport and profit is effectively realized).<br /><br />The latter also suffers in seeing Taylor take Paget for himself  she bravely but coldly endures his approaches, while secretly craving for Granger  and lets out his frustration on the locals at a bar while drunk! Taylor, himself, doesn't come out unscathed from the deal: like the protagonist of THE TREASURE OF THE SIERRA MADRE (1948), he becomes diffident and jealous of his associates, especially with respect to a rare  and, therefore, precious  hide of a white buffalo they've caught; he even goes buffalo-crazy at one point (as Nolan had predicted), becoming deluded into taking the rumble of thunder for the hooves of an approaching mass of the species! The hunting scenes themselves are impressive  buffaloes stampeding, tumbling to the ground when hit, the endless line-up of the day's catch, and the carcasses which subsequently infest the meadows. The film's atypical but memorable denouement, then, is justly famous: with Winter in full swing, a now-paranoid Taylor out for Granger's blood lies in wait outside a cave (in which the latter and Paget have taken refuge) to shoot him; when Granger emerges the next morning, he discovers Taylor in a hunched position  frozen to death! <br /><br />Incidentally, my father owns a copy of the hefty source novel of this (by Milton Lott) from the time of the film's original release: actually, he has collected a vast number of such editions  it is, after all, a practice still in vogue  where a book is re-issued to promote its cinematic adaptation. Likewise for the record, Taylor and Granger  who work very well off each other here  had already been teamed (as sibling whale hunters!) in the seafaring adventure ALL THE BROTHERS WERE VALIANT (1953)which, curiously enough, is just as difficult to see (in fact, even more so, considering that it's not even been shown on Italian TV for what seems like ages)!!",positive
"""Family Guy"" is probably the most ballsy sitcom ever produced. It relentlessly skewers everything it can think of, from TV shows to family drama. Best of all, it's one of the few TV shows on today that's actually funny.<br /><br />The show revolves around the Griffins: Peter, the obese father whose schemes are limited by his lack of intelligence. Lois, the mother who is more or less the head of the family, even though Peter considers himself to be that. Chris, the fat teenage son who has just as few brains as his dad. Meg, the black sheep of the family that is the but of everyone's jokes. Stewie, the baby who has plans for killing his mother and taking over the world. And Brian, the family dog, who is frequently the voice of reason, but is frequently corrupted.<br /><br />""Family Guy"" employs many tactics to get laughs from the audience. Most notable are the frequent cutaways that spoof what has just been said. They are effective because of the impeccable timing, and in how they play out. ""Family Guy"" uses spoofs to get humor as well, most commonly from 80's TV shows. What really makes the show so great is that a person doesn't have to be familiar with what it's spoofing. I'm sure it would help, but the material is funny enough in its own right. But the show doesn't stop there. Not only does it spoof just about everything, it skewers its own spoofs! The show is filled with off-color humor. The only reason why people aren't up in arms about the show is probably because it makes fun of every race, sex and other generality equally. There is nothing sacred here, and no one and nothing is immune from ""Family Guy's"" satirical jabs.<br /><br />Putting on musical numbers in a film takes a lot of time and effort, and it's a very big risk. But ""Family Guy"" contains some great songs. All well-written and performed, and of course they are hilarious (perhaps the most famous one, ""The Freakin' FCC"" is both catchy, and hysterical because it hits the ratings board where it hurts).<br /><br />The voice characterizations are right on the money. Seth McFarlane is tremendously talented. He provides the voices for Peter, Brian (which is his own natural voice), and Stewie. Not only are the voices consistent and creative, he can alter their pitch at will, so it really seems as if they are spoken by three different actors. Alex Borstein brings a nasally drawl to Lois that is perfect for the character. Seth Green is unrecognizable as Chris (had I not looked on IMDb, I would have never known that it was him). Lacey Chabert originated the character of Meg, and while she was good, Mila Kunis really elevated the character with her sharp voice. Kunis gives Meg a new, sharper edge that she didn't have with Chabert.<br /><br />""Family Guy"" has been compared to ""The Simpsons,"" and that's entirely understandable (and not just because they are produced by FOX). Both are satires of blue-collar life, and while ""The Simpsons"" is good, ""Family Guy"" contains are sharper edge. The show is utterly fearless. There is no real sacred cow. The show lampoons handicaps (physical and mental), ethnicities, TV shows and movies, celebrities, politicians, religion (especially catholicism), drug use and addiction, sexual humor of all kinds (including S&M), and some that's just beyond description. Not everything ""Family Guy"" throws at the audience works, but as a whole, the show is consistently amusing and frequently hilarious.<br /><br />If there's any flaw with ""Family Guy,"" it's that the jokes run on far too long sometimes. Particularly with the ""awkward moment"" jokes, the sequences are stretched for so long that not only does it cease to become funny, it becomes so irritating (and long) that a fast-forward button is warranted. These can be effective at about 10 to 15 seconds, but the show sometimes stretches these to beyond two minutes. One could argue that the show rewrites its rules to suit the plot, and it often does (for example, Brian frequently acts like a person, but he still acts like a dog when the story requires it). But that's not a problem because the show still works.<br /><br />Some people have argued that the show has stopped being funny. While I agree that it's not as edgy as it used to be, I think the blame lies with FOX, not McFarlane and his crew. The show originated with FOX, but after some lackluster ratings and viewer turnout, it was canceled. However, DVD sales were large enough for it to be picked up by Adult Swim. The show became an instant success, and it was once again bought by FOX. However, because the show is so big now, FOX is afraid to let the writers experiment and try new things. While it's still funny, the humor is not as fresh and edgy.<br /><br />Definitely check this show out. It's awesome.",positive
"Low budget, but still creepy enough to hold your interest in another take off on the familiar Frankenstein story. This movie is also known as LADY FRANKENSTEIN. The alluring Tania Frankenstein(Sara Bay)fresh from medical school arrives at her father's estate to find that he is still up to his old tricks. Baron Frankenstein(Joseph Cotten)is murdered by his own creation and now his daughter decides to carry on the family tradition by creating herself a lover. This is closer to being an eerie melodrama than horror flick. Supporting cast features Mickey Hargitay, Paul Whiteman, Paul Muller and Herbert Fux. A rainy night could amplify the atmosphere. Still a fun watch.",negative
"There have been a lot of Zorro films made over the decades, but it's a shame that one of the best is probably one of the least seen.<br /><br />Zorro's Fighting Legion is a bit different from other Zorro films. First off, it's a Republic serial in 12 chapters. And this time, Zorro is not played by a top studio star like Douglas Fairbanks, Tyrone Power or Antonio Banderas but instead by workman-like actor Reed Hadley. While Hadley does not cast as strong a presence over the proceedings as those other, he does an adequate job, helped by the fact that he is not the sole hero here; as the title implies, he has a fighting legion to call upon.<br /><br />Another big difference is that the setting isn't California. The story here take place in central Mexico in 1824 where a man posing as a living god incites the indigenous Indian population and a band of outlaws to aid him in his plan to overthrow the newly established Mexican Republic. Something, Zorro, and a handful of followers plan to do anything they can to stop.<br /><br />Don't get me wrong, there is at least one incredibly cheesy moment per episode, from corny ""twang"" bow sound effects to ludicrous acting. But overall, this represents one of the best Republic serials of all time, and probably the best Zorro one.<br /><br />The plot is stronger than most serials and never becomes incomprehensible or meandering., and there's lots of great action - fans of the Indiana Jones movies will notice MANY bits borrowed from this serial.",positive
"Hubie -- like Stanely the troll from Bluth's A Troll in Central Park -- lacks the spark of personality to be the main character that carries an entire movie. We're supposed to like him because he's nice, but that's about all he is.<br /><br />His character design is unappealing. The top of his head is a sort of dome that is narrower than the pudgy bottom half of his head.<br /><br />And penguins should not have teeth. I know that Iago the parrot in Aladdin had teeth, but maybe that worked because it made him look more like his voice actor, Gilbert Gottfried. Hubie, with his weenie little voice (provided by Martin Short), looks funny with that big set of chompers in his beak.<br /><br />Tim Curry, who is usually delightful at being evil, does some sort of dippy surfer dude accent as the villain (might have been a good voice for a comic relief accomplice, not the supposedly menacing main villain).<br /><br />The entire plot revolves around the hero and villain's love for female penguin Marina, who is just as dull as both of her suitors.<br /><br />Worst of all is the pacing. We keep cutting back to the villain to watch him threaten Marina some more - this time in dialogue, this time in song...<br /><br />Barry Manilow may be a great songwriter, but in animated films like this and Thumbelina, his songs feel limp and listless - especially the ballads. The only song I liked was the 1930's-ish ""Good Ship Misery"" song.<br /><br />I read that the distributor made some cuts in this film against the filmmaker's wishes, and that could have caused some of the problems - though I suspect the real problem is that they didn't cut the rest of it ;).",negative
"Rating ""10/10"" Master piece<br /><br />Some years ago, i heard Spielberg comment that he would redo the movie here and there if he had a chance. Well, Mr Spielberg, i guess nothing is perfect, but this movie - together with schindler's List - is your best. Even Oprah acts well in this one !<br /><br />What got me most is the realism of the story and drama. Stuff like this happened and is still happening in the world.",positive
"I've seen this movie twice with my teenagers who love it. This one ought to be a cult fave! The best line, ""Your dress is deeply cool!"" says the Prince to Cinderella. Kathleen Turner shines as the stepmother. I also like the 1950's era cars and motorcycles. The melancholy prince is a great departure from the typical swashbuckler. He tries to stay cool, but fails to hide his love for the fairy-tale princess-to-be. Her slipper is not glass (truer to the original story), but Cinderella loses is nonetheless but gets it back from the heir to the throne. My only complaint is that it is not shown more and seems to be almost impossible to get. Hopefully Blockbuster or Amazon will start stocking this one sometime soon.",positive
"This film tells the story of a romance between Albert Einstien niece and a gas station attendant. In order to get the two together, Einstien agrees to help Ed(Hudsucker Proxy's Tim Robbins) learn to act more intelligent. This impresses Catherine (Meg Ryan). Unfortunately Einstien goes too far and Ed is considered to be a genius. Hilarity ensues. Not to be missed. Filmed in Mercer county New Jersey at Princeton University, Lawrenceville Prep School (doubling for Princeton University) as well as a beautiful vintage gas station in Hopewell.",positive
"This could be a cute movie for kids My grandson watched it once. he was watching it a second time I was watching some of it with him.<br /><br />When the little bear gets lost on the ice burg and he is in the water he is trying to get to a piece of ice it says ""Come back stupid ass fool"".<br /><br />I don't want my 3 year old grandson watching movies with words like this in it.<br /><br />That is why its rated for children. Should be child friendly. That is what I would expect. put out by warner brothers and G rated I would expect this to not have cuss words in it. The words don't even fit the movie in most places as it seems added later. And the movie drags out in many parts.",negative
"I loved all the other Don Knotts movies, but I never heard much about ""How To Frame A Fig"" and now I know why: I can't think of anyone who would find it enjoyable. This movie seems to appeal to 9 or 10 year olds, but even most of them would give this a thumbs down. At best there are brief moments of mild amusement, mostly from Don Knotts playing the same nervous, underdog persona that made him famous.<br /><br />After the movie finally finished I was curious if my teenager could pick up on this movie's fatal flaw. We were in complete agreement: the Prentiss Gates sidekick character was even dumber than the Don Knotts character.<br /><br />Be happy that Mr. Limpet, Reluctant Astronaut, Shakiest Gun and Mr. Chicken movies are around to enjoy.",negative
"i wasn't sure whether to laugh or cry. Porretta was good looking but resembled like a Mexican porn star not an English outlaw. costumes? what costumes? a t-shirt with strips of black leather on it. it was Marion's clothes--or lack of them--that really got me. do the 'fans' of this stinker really believe women dressed like that in medieval england. the Mongols and vikings were inaccurate and stupid, but the episode with an ALIEN was worst of all. Especially as his make up mainly consisted of oatmeal on his face--an old trick.The hedgehog monster was pretty funny, as was climbing up the side of a castle on a ladder of arrows--as if. the US accents grated as did the initial drawling voice over' RAW-bin Hood and LIDDLE John'.the second robin and Marion were really quite minging in looks and what was left of the show went totally down the pan...",negative
